sa.osmwayid,sa.osmstartnodeid,sa.osmendnodeid,geojson,sa.hour,sum_speed,total_records,avg_speed
195743139,561035335,627905367,"{""type"":""LineString"",""coordinates"":[[-73.964761,40.8066676],[-73.9643043,40.8073074]]}",23,61416.86248441572,1513,40.59
327917961,3347295531,3347295528,"{""type"":""LineString"",""coordinates"":[[-73.9608452,40.8070867],[-73.9605114,40.8075439]]}",14,65495.92036304752,1734,37.77
327917960,3347295528,42442577,"{""type"":""LineString"",""coordinates"":[[-73.9605114,40.8075439],[-73.9604349,40.8076486],[-73.9600943,40.8081151]]}",13,52698.876478914266,1461,36.07
524569322,42428833,42428814,"{""type"":""LineString"",""coordinates"":[[-73.9644822,40.8073825],[-73.9649464,40.8067455]]}",18,23048.128496187157,1019,22.62
5672656,561035335,1506445711,"{""type"":""LineString"",""coordinates"":[[-73.964761,40.8066676],[-73.9638636,40.8062917],[-73.9628951,40.8058869],[-73.9619961,40.8055105]]}",4,746.7843799872578,26,28.72
49688932,1506445762,470209120,"{""type"":""LineString"",""coordinates"":[[-73.9638152,40.8079924],[-73.9639109,40.8080309],[-73.9639998,40.8080666]]}",0,3.3724285080872276,1,3.37
5672656,561035335,1506445711,"{""type"":""LineString"",""coordinates"":[[-73.964761,40.8066676],[-73.9638636,40.8062917],[-73.9628951,40.8058869],[-73.9619961,40.8055105]]}",5,570.236063682175,21,27.15
5672656,561035335,1506445711,"{""type"":""LineString"",""coordinates"":[[-73.964761,40.8066676],[-73.9638636,40.8062917],[-73.9628951,40.8058869],[-73.9619961,40.8055105]]}",6,758.699005663856,39,19.45
49688932,1506445762,470209120,"{""type"":""LineString"",""coordinates"":[[-73.9638152,40.8079924],[-73.9639109,40.8080309],[-73.9639998,40.8080666]]}",1,79.67574186620375,1,79.68
196116984,1506591536,470209120,"{""type"":""LineString"",""coordinates"":[[-73.9621944,40.8105701],[-73.9625796,40.8100359],[-73.9630937,40.809323],[-73.9639998,40.8080666]]}",21,50683.25270076841,1390,36.46
5671447,627905367,42428833,"{""type"":""LineString"",""coordinates"":[[-73.9643043,40.8073074],[-73.9644105,40.8073522],[-73.9644822,40.8073825]]}",19,528.1845423997795,48,11.0
196116984,1506591536,470209120,"{""type"":""LineString"",""coordinates"":[[-73.9621944,40.8105701],[-73.9625796,40.8100359],[-73.9630937,40.809323],[-73.9639998,40.8080666]]}",22,52339.46386824007,1406,37.23
5671447,627905367,42428833,"{""type"":""LineString"",""coordinates"":[[-73.9643043,40.8073074],[-73.9644105,40.8073522],[-73.9644822,40.8073825]]}",20,534.6508115781485,41,13.04
5671447,627905367,42428833,"{""type"":""LineString"",""coordinates"":[[-73.9643043,40.8073074],[-73.9644105,40.8073522],[-73.9644822,40.8073825]]}",22,970.1365797280059,61,15.9
5671447,627905367,42428833,"{""type"":""LineString"",""coordinates"":[[-73.9643043,40.8073074],[-73.9644105,40.8073522],[-73.9644822,40.8073825]]}",23,541.6829565248333,39,13.89
5672656,42428814,561035335,"{""type"":""LineString"",""coordinates"":[[-73.9649464,40.8067455],[-73.9648794,40.8067174],[-73.964761,40.8066676]]}",19,3779.249528489029,262,14.42
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",0,264807.8449957381,6336,41.79
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",1,240168.81032775092,5602,42.87
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",2,163432.54258966586,3794,43.08
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",3,136190.02378514735,3127,43.55
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",4,118970.270768281,2662,44.69
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",6,62508.76724262167,1408,44.4
46583484,1506445711,42442575,"{""type"":""LineString"",""coordinates"":[[-73.9619961,40.8055105],[-73.9615414,40.8061332]]}",0,110107.3491566868,2791,39.45
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",8,87608.30968765308,2443,35.86
196117064,1504153626,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9592062,40.8093313],[-73.9594918,40.8094549],[-73.9603274,40.8098142],[-73.9615733,40.810319],[-73.9620178,40.8104995]]}",0,16302.271022443521,528,30.88
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",11,51749.97417099387,1540,33.6
46583484,1506445711,42442575,"{""type"":""LineString"",""coordinates"":[[-73.9619961,40.8055105],[-73.9615414,40.8061332]]}",3,55386.49651977145,1339,41.36
46583484,1506445711,42442575,"{""type"":""LineString"",""coordinates"":[[-73.9619961,40.8055105],[-73.9615414,40.8061332]]}",8,38061.9087284358,1096,34.73
196117064,1504153626,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9592062,40.8093313],[-73.9594918,40.8094549],[-73.9603274,40.8098142],[-73.9615733,40.810319],[-73.9620178,40.8104995]]}",5,2435.6308502042834,103,23.65
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",16,90665.47068006248,2647,34.25
46583484,1506445711,42442575,"{""type"":""LineString"",""coordinates"":[[-73.9619961,40.8055105],[-73.9615414,40.8061332]]}",9,37544.9869986344,1095,34.29
196117064,1504153626,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9592062,40.8093313],[-73.9594918,40.8094549],[-73.9603274,40.8098142],[-73.9615733,40.810319],[-73.9620178,40.8104995]]}",6,3525.520365724222,139,25.36
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",17,123062.5256439713,3533,34.83
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",19,155785.64937977286,4253,36.63
196117064,1504153626,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9592062,40.8093313],[-73.9594918,40.8094549],[-73.9603274,40.8098142],[-73.9615733,40.810319],[-73.9620178,40.8104995]]}",8,11974.823194538427,549,21.81
46583484,1506445711,42442575,"{""type"":""LineString"",""coordinates"":[[-73.9619961,40.8055105],[-73.9615414,40.8061332]]}",11,18127.27776816404,651,27.85
196117064,1504153626,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9592062,40.8093313],[-73.9594918,40.8094549],[-73.9603274,40.8098142],[-73.9615733,40.810319],[-73.9620178,40.8104995]]}",9,9098.033277945617,426,21.36
46583484,1506445711,42442575,"{""type"":""LineString"",""coordinates"":[[-73.9619961,40.8055105],[-73.9615414,40.8061332]]}",12,19833.878334300774,721,27.51
46583484,42442575,42437142,"{""type"":""LineString"",""coordinates"":[[-73.9615414,40.8061332],[-73.961103,40.8067337],[-73.9610357,40.8068259]]}",20,148376.45726478,3923,37.82
455675302,1504153604,1506591536,"{""type"":""LineString"",""coordinates"":[[-73.9620178,40.8104995],[-73.9620715,40.810521],[-73.9621944,40.8105701]]}",19,27447.8291884641,1159,23.68
524569306,627905367,1506445762,"{""type"":""LineString"",""coordinates"":[[-73.9643043,40.8073074],[-73.9638845,40.8078954],[-73.9638152,40.8079924]]}",18,26821.686355453374,674,39.79
327917960,3347295528,42442577,"{""type"":""LineString"",""coordinates"":[[-73.9605114,40.8075439],[-73.9604349,40.8076486],[-73.9600943,40.8081151]]}",1,230927.2566082122,4989,46.29
327917960,3347295528,42442577,"{""type"":""LineString"",""coordinates"":[[-73.9605114,40.8075439],[-73.9604349,40.8076486],[-73.9600943,40.8081151]]}",2,160854.10491944395,3379,47.6
327917960,3347295528,42442577,"{""type"":""LineString"",""coordinates"":[[-73.9605114,40.8075439],[-73.9604349,40.8076486],[-73.9600943,40.8081151]]}",4,115001.1779135734,2469,46.58
327917960,3347295528,42442577,"{""type"":""LineString"",""coordinates"":[[-73.9605114,40.8075439],[-73.9604349,40.8076486],[-73.9600943,40.8081151]]}",5,85744.61968104972,1831,46.83
327917960,3347295528,42442577,"{""type"":""LineString"",""coordinates"":[[-73.9605114,40.8075439],[-73.9604349,40.8076486],[-73.9600943,40.8081151]]}",7,74218.81453649359,1803,41.16
327917960,3347295528,42442577,"{""type"":""LineString"",""coordinates"":[[-73.9605114,40.8075439],[-73.9604349,40.8076486],[-73.9600943,40.8081151]]}",10,49651.745675535174,1475,33.66
327917960,3347295528,42442577,"{""type"":""LineString"",""coordinates"":[[-73.9605114,40.8075439],[-73.9604349,40.8076486],[-73.9600943,40.8081151]]}",14,58692.921600349284,1581,37.12
524569322,42428833,42428814,"{""type"":""LineString"",""coordinates"":[[-73.9644822,40.8073825],[-73.9649464,40.8067455]]}",9,16070.423806234154,517,31.08
524569322,42428833,42428814,"{""type"":""LineString"",""coordinates"":[[-73.9644822,40.8073825],[-73.9649464,40.8067455]]}",11,8454.967083537482,400,21.14
524569322,42428833,42428814,"{""type"":""LineString"",""coordinates"":[[-73.9644822,40.8073825],[-73.9649464,40.8067455]]}",12,9297.9788483389,394,23.6
524569322,42428833,42428814,"{""type"":""LineString"",""coordinates"":[[-73.9644822,40.8073825],[-73.9649464,40.8067455]]}",13,8011.710288448718,349,22.96
327917960,42442578,1504153626,"{""type"":""LineString"",""coordinates"":[[-73.9596325,40.8087475],[-73.9592062,40.8093313]]}",7,51720.7265022745,1827,28.31
327917960,42442578,1504153626,"{""type"":""LineString"",""coordinates"":[[-73.9596325,40.8087475],[-73.9592062,40.8093313]]}",8,44252.563028610726,2014,21.97
327917960,42442578,1504153626,"{""type"":""LineString"",""coordinates"":[[-73.9596325,40.8087475],[-73.9592062,40.8093313]]}",10,32036.58096736782,1408,22.75
327917960,42442578,1504153626,"{""type"":""LineString"",""coordinates"":[[-73.9596325,40.8087475],[-73.9592062,40.8093313]]}",14,36863.59150457324,1618,22.78
327917960,42442578,1504153626,"{""type"":""LineString"",""coordinates"":[[-73.9596325,40.8087475],[-73.9592062,40.8093313]]}",21,68926.98078427339,4350,15.85
327917960,42442578,1504153626,"{""type"":""LineString"",""coordinates"":[[-73.9596325,40.8087475],[-73.9592062,40.8093313]]}",22,72536.99578351226,4869,14.9
327917960,42442578,1504153626,"{""type"":""LineString"",""coordinates"":[[-73.9596325,40.8087475],[-73.9592062,40.8093313]]}",23,73418.55686017279,5141,14.28
402097157,470209120,42428833,"{""type"":""LineString"",""coordinates"":[[-73.9639998,40.8080666],[-73.9644822,40.8073825]]}",0,40495.37671889202,1146,35.34
402097157,470209120,42428833,"{""type"":""LineString"",""coordinates"":[[-73.9639998,40.8080666],[-73.9644822,40.8073825]]}",5,13781.36507298279,509,27.08
402097157,470209120,42428833,"{""type"":""LineString"",""coordinates"":[[-73.9639998,40.8080666],[-73.9644822,40.8073825]]}",14,43636.10602131379,1466,29.77
402097157,470209120,42428833,"{""type"":""LineString"",""coordinates"":[[-73.9639998,40.8080666],[-73.9644822,40.8073825]]}",18,85846.2707585666,2785,30.82
402097157,470209120,42428833,"{""type"":""LineString"",""coordinates"":[[-73.9639998,40.8080666],[-73.9644822,40.8073825]]}",21,60461.37085364209,1870,32.33
402097157,470209120,42428833,"{""type"":""LineString"",""coordinates"":[[-73.9639998,40.8080666],[-73.9644822,40.8073825]]}",23,54182.64617376093,1553,34.89
402097156,1506445762,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9638152,40.8079924],[-73.9637536,40.8080783],[-73.9632294,40.8088095],[-73.9620178,40.8104995]]}",0,35630.41509876077,1325,26.89
402097156,1506445762,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9638152,40.8079924],[-73.9637536,40.8080783],[-73.9632294,40.8088095],[-73.9620178,40.8104995]]}",2,38900.055038464816,933,41.69
402097156,1506445762,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9638152,40.8079924],[-73.9637536,40.8080783],[-73.9632294,40.8088095],[-73.9620178,40.8104995]]}",3,25503.57969401381,618,41.27
402097156,1506445762,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9638152,40.8079924],[-73.9637536,40.8080783],[-73.9632294,40.8088095],[-73.9620178,40.8104995]]}",10,10642.605049459891,487,21.85
327917961,3347295531,3347295528,"{""type"":""LineString"",""coordinates"":[[-73.9608452,40.8070867],[-73.9605114,40.8075439]]}",0,274919.97479174146,5959,46.14
402097156,1506445762,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9638152,40.8079924],[-73.9637536,40.8080783],[-73.9632294,40.8088095],[-73.9620178,40.8104995]]}",13,16350.943051042488,701,23.33
327917961,3347295531,3347295528,"{""type"":""LineString"",""coordinates"":[[-73.9608452,40.8070867],[-73.9605114,40.8075439]]}",3,136324.2334309909,2868,47.53
402097156,1506445762,1504153604,"{""type"":""LineString"",""coordinates"":[[-73.9638152,40.8079924],[-73.9637536,40.8080783],[-73.9632294,40.8088095],[-73.9620178,40.8104995]]}",14,13307.036976383715,617,21.57
